id,card_id,name,rarity,type,element,sub_type,image_path,level,attack,health,description,expansion,card_number,skills,passive_skill,created_at,updated_at,spektra_cost,duplicate_group,effect_type,effect_value,effect_value_2,effect_target
11,fire-borah-trainee-b,Borah Trainee B,Common,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Borah Trainee B.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-011,"[{""id"":""burning-step"",""name"":""Burning Step"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""neutral""]}]",,"""2026-01-09T06:52:54.041Z""",,,GEN-011,,,,
12,fire-borah-trainee-c,Borah Trainee C,Common,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Borah Trainee C.webp,1,2,6,Avatar - Borah Fighter,Fire and Water,GEN-012,"[{""id"":""ash-flick"",""name"":""Ash Flick"",""damage"":2,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:54.085Z""",,,GEN-012,,,,
13,fire-radja,Radja,Uncommon,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Radja.webp,2,5,17,Avatar - Kobar Fighter,Fire and Water,GEN-013,"[{""id"":""pyro-punch"",""name"":""Pyro Punch"",""damage"":5,""conditions"":[],""description"":""Powerful fire punch"",""spektraCost"":[""fire"",""neutral""]},{""id"":""burning-body"",""name"":""Burning Body"",""damage"":9,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":13}}],""description"":""This attack damage become 13 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.132Z""",,,GEN-013,,,,
14,fire-mera,Mera,Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Mera.webp,2,3,13,Avatar - Kobar Fighter,Fire and Water,GEN-014,"[{""id"":""klaw"",""name"":""Klaw"",""damage"":3,""conditions"":[],""description"":""Sharp claw attack"",""spektraCost"":[""fire"",""neutral""]},{""id"":""revenge-fire"",""name"":""Revenge Fire"",""damage"":8,""conditions"":[{""type"":""opponent_tribe"",""value"":[""kuhaka"",""kujana""],""effect"":{""type"":""damage_modification"",""value"":13}}],""description"":""This attack damage become 13 if the opponent is Kuhaka or Kujana type Avatar"",""spektraCost"":[""fire"",""fire"",""fire""]}]",,"""2026-01-09T06:52:54.223Z""",,,GEN-014,,,,
15,fire-crimson,Crimson,Uncommon,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Crimson.webp,2,18,15,Avatar - Kobar Fighter,Fire and Water,GEN-015,"[{""id"":""ember"",""name"":""Ember"",""damage"":3,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]},{""id"":""infernal-crush"",""name"":""Infernal Crush"",""damage"":18,""conditions"":[{""type"":""self_damage"",""value"":4,""effect"":{""type"":""damage_self"",""value"":4}}],""description"":""Deal 4 damage to this Avatar after using this skill"",""spektraCost"":[""fire"",""fire"",""neutral"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.271Z""",,,GEN-015,,,,
16,fire-dara,Dara,Rare,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Dara.webp,2,3,12,Avatar - Borah Fighter,Fire and Water,GEN-016,"[{""id"":""klaw"",""name"":""Klaw"",""damage"":3,""conditions"":[],""description"":""Sharp claw attack"",""spektraCost"":[""neutral""]},{""id"":""annihilation"",""name"":""Annihilation"",""damage"":15,""conditions"":[{""type"":""opponent_tribe"",""value"":[""kuhaka"",""kujana""],""effect"":{""type"":""damage_modification"",""value"":20}}],""description"":""This attack damage become 20 if the opponent is Kuhaka or Kujana type Avatar"",""spektraCost"":[""fire"",""fire"",""fire"",""fire"",""neutral""]}]",,"""2026-01-09T06:52:54.340Z""",,,GEN-016,,,,
17,fire-daisy,Daisy,Uncommon,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Daisy.webp,2,6,16,Avatar - Borah Fighter,Fire and Water,GEN-017,"[{""id"":""spit-fire"",""name"":""Spit Fire"",""damage"":6,""conditions"":[],""description"":""Fire projectile attack"",""spektraCost"":[""fire"",""neutral""]},{""id"":""spread-burning"",""name"":""Spread Burning"",""damage"":10,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 10 damage to opponent active avatar and 2 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""neutral"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.386Z""",,,GEN-017,,,,
18,fire-scarlet,Scarlet,Rare,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Scarlet.webp,2,4,14,Avatar - Borah Fighter,Fire and Water,GEN-018,"[{""id"":""mini-dagger"",""name"":""Mini Dagger"",""damage"":4,""conditions"":[],""description"":""Quick dagger strike"",""spektraCost"":[""fire"",""neutral""]},{""id"":""infernal-arrow"",""name"":""Infernal Arrow"",""damage"":15,""conditions"":[{""type"":""self_damage"",""value"":3,""effect"":{""type"":""damage_self"",""value"":3}}],""description"":""Deal 3 damage to this Avatar after using this skill"",""spektraCost"":[""fire"",""fire"",""fire"",""neutral""]}]",,"""2026-01-09T06:52:54.481Z""",,,GEN-018,,,,
19,fire-blood-eater,Blood Eater,Rare,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Blood Eater.webp,2,2,16,Avatar - Kujana Witch,Fire and Water,GEN-019,"[{""id"":""whirl-kick"",""name"":""Whirl Kick"",""damage"":2,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 2 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""neutral""]},{""id"":""rushing-kick"",""name"":""Rushing Kick"",""damage"":12,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":15}}],""description"":""This attack damage become 15 if the opponent is Borah or Kobar type Avatar"",""spektraCost"":[""fire"",""fire"",""fire"",""fire""]}]",,"""2026-01-09T06:52:54.527Z""",,,GEN-019,,,,
20,fire-blood-demon,Blood Demon,Uncommon,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Blood Demon.webp,2,13,13,Avatar - Kuhaka Berserker,Fire and Water,GEN-020,"[{""id"":""bloody-klaw"",""name"":""Bloody Klaw"",""damage"":13,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":20}}],""description"":""This attack damage become 20 if the opponent is Borah or Kobar type Avatar"",""spektraCost"":[""fire"",""fire"",""fire"",""fire"",""neutral""]}]","{""id"":""berserker-burnout"",""name"":""Berserker Burnout"",""scope"":""active"",""damage"":0,""effect"":""Everytime before your draw phase, deal 1 damage to this Avatar."",""description"":""Everytime before your draw phase, deal 1 damage to this Avatar."",""spektraCost"":[]}","""2026-01-09T06:52:54.619Z""",,,GEN-020,,,,
21,fire-boar-berserker,Boar Berserker,Rare,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Boar Berserker.webp,2,6,20,Avatar - Kuhaka Berserker,Fire and Water,GEN-021,"[{""id"":""body-slam"",""name"":""Body Slam"",""damage"":6,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to this Avatar after using this skill."",""spektraCost"":[""fire"",""fire""]},{""id"":""bloody-klaw"",""name"":""Bloody Klaw"",""damage"":20,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to this Avatar after using this skill."",""spektraCost"":[""fire"",""neutral"",""neutral"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.710Z""",,,GEN-021,,,,
22,fire-banaspati,Banaspati,Uncommon,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Banaspati.webp,2,3,17,Avatar - Kuhaka Pyromancer,Fire and Water,GEN-022,"[{""id"":""ember"",""name"":""Ember"",""damage"":3,""conditions"":[],""description"":""Basic fire spell"",""spektraCost"":[""fire"",""neutral""]},{""id"":""spread-ember"",""name"":""Spread Ember"",""damage"":13,""target"":""all_opponent_reserve"",""conditions"":[],""description"":""Put 3 damage into all opponent reserve avatars."",""spektraCost"":[""fire"",""fire"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.755Z""",,,GEN-022,,,,
23,fire-boar-witch,Boar Witch,Rare,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Boar Witch.webp,2,7,13,Avatar - Kujana Witch,Fire and Water,GEN-023,"[{""id"":""purified-fire"",""name"":""Purified Fire"",""damage"":7,""condition"":""damage_to_self"",""effectType"":""heal"",""description"":""Deal 7 damage. If this avatar has damage counters, heal 2 damage."",""effectValue"":2,""spektraCost"":[""fire"",""fire"",""neutral"",""neutral""],""effectTarget"":""player_active"",""conditionValue"":1}]","{""id"":""sacred-fire"",""name"":""Sacred Fire"",""scope"":""active_or_reserve"",""damage"":0,""description"":""Your active Fire Element Avatar gets +2 attack damage in their skills."",""spektraCost"":[],""modifierType"":""skill_damage_boost"",""modifierValue"":2,""modifierCondition"":""fire""}","""2026-01-09T06:52:54.804Z""",,,GEN-023,,,,
24,fire-banaspati-female,Banaspati,Uncommon,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Banaspati Fem.webp,2,3,15,Avatar - Kujana Pyromancer,Fire and Water,GEN-024,"[{""id"":""ember"",""name"":""Ember"",""damage"":3,""conditions"":[],""description"":""Basic fire spell"",""spektraCost"":[""fire"",""neutral""]},{""id"":""burning-tips"",""name"":""Burning Tips"",""damage"":8,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":12}}],""description"":""This attack damage become 12 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.895Z""",,,GEN-024,,,,
25,fire-flame-flicker,Flame Flicker,Uncommon,spell,fire,damage,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Flame Flicker.webp,1,0,0,Deal 2 damage to one enemy Avatar.,Fire and Water,GEN-025,,,"""2026-01-09T06:52:54.943Z""",,"[""fire""]",GEN-025,damage,2,,select_opponent_avatar
26,fire-heat-resonance,Heat Resonance,Common,spell,fire,damage,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Heat Resonance.webp,1,0,0,Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar.,Fire and Water,GEN-026,,,"""2026-01-09T06:52:54.993Z""",,"[""fire"",""neutral""]",GEN-026,damage,1,1,all_opponent_avatars
27,fire-inferno-fuel,Inferno Fuel,Common,spell,fire,healing,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Inferno Fuel.webp,1,0,0,Heal 2 HP from your active avatar.,Fire and Water,GEN-027,,,"""2026-01-09T06:52:55.038Z""",,"[""fire"",""fire""]",GEN-027,heal,2,,player_active
28,fire-searing-flame,Searing Flame,Uncommon,spell,fire,damage,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Searing Flame.webp,1,0,0,Deal 2 damage to all opponent active and reserve avatars.,Fire and Water,GEN-028,,,"""2026-01-09T06:52:55.083Z""",,"[""fire"",""fire"",""neutral""]",GEN-028,damage,2,,all_opponent_avatars
29,fire-burning-sight,Burning Sight,Uncommon,spell,fire,draw,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Burning Sight.webp,1,0,0,Draw 2 card from your deck.,Fire and Water,GEN-029,,,"""2026-01-09T06:52:55.128Z""",,"[""fire"",""fire"",""neutral"",""neutral""]",GEN-029,draw,2,,player
30,fire-wild-combustion,Wild Combustion,Rare,spell,fire,damage,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Wild Combustion.webp,1,0,0,Deal 5 damage to enemy Active Avatar.,Fire and Water,GEN-030,,,"""2026-01-09T06:52:55.174Z""",,"[""fire"",""fire"",""fire"",""neutral""]",GEN-030,damage,5,,opponent_active
31,fire-flame-of-devastation,Flame of Devastation,Rare,spell,fire,damage,/attached_assets/card_images/GENESIS/fire/spells/Red Elemental Spell for Apps_Spell - Flame of Devastation.webp,1,0,0,Deal 5 damage into 1 of your opponent avatar.,Fire and Water,GEN-031,,,"""2026-01-09T06:52:55.218Z""",,"[""fire"",""fire"",""fire"",""fire"",""neutral""]",GEN-031,damage,5,,select_opponent_avatar
32,fire-ember-spark,Ember Spark,Common,quickSpell,fire,damage,/attached_assets/card_images/GENESIS/fire/quickspells/Red Elemental Spell for Apps_Quick Spell - Ember Spark.webp,1,0,0,Deal 1 damage to one enemy Avatar.,Fire and Water,GEN-032,,,"""2026-01-09T06:52:55.264Z""",,"[""fire""]",GEN-032,damage,1,,select_opponent_avatar
33,fire-volcanic-boost,Volcanic Boost,Uncommon,quickSpell,fire,damage,/attached_assets/card_images/GENESIS/fire/quickspells/Red Elemental Spell for Apps_Quick Spell - Volcanic Boost.webp,1,0,0,Deal 1 damage to opponent active avatar and 1 damage to one selected active or reserve avatar.,Fire and Water,GEN-033,,,"""2026-01-09T06:52:55.308Z""",,"[""fire"",""neutral""]",GEN-033,damage,1,1,select_opponent_avatar
34,fire-spark-shield,Spark Shield,Common,quickSpell,fire,equipment,/attached_assets/card_images/GENESIS/fire/quickspells/Red Elemental Spell for Apps_Quick Spell - Spark Shield.webp,1,0,0,Target avatar get 1 shield counter.,Fire and Water,GEN-034,,,"""2026-01-09T06:52:55.355Z""",,"[""fire"",""neutral"",""neutral""]",GEN-034,shield,1,,select_player_avatar
35,fire-burning-armor,Burning Armor,Rare,ritualArmor,fire,equipment,/attached_assets/card_images/GENESIS/fire/ritualarmor/Red Elemental Spell for Apps_Ritual Armor - Burning Armor.webp,1,0,0,Equipped avatar gain +2 damage in their skills,Fire and Water,GEN-035,,,"""2026-01-09T06:52:55.399Z""",,"[""fire"",""fire"",""fire"",""fire""]",GEN-035,,,,
36,fire-boiled-armor,Boiled Armor,Rare,ritualArmor,fire,equipment,/attached_assets/card_images/GENESIS/fire/ritualarmor/Red Elemental Spell for Apps_Ritual Armor - Boiled Armor.webp,1,0,0,"Everytime equipped avatar get damage from opponent Avatar, this card deal 2 damage to that card.",Fire and Water,GEN-036,,,"""2026-01-09T06:52:55.446Z""",,"[""fire"",""fire"",""fire"",""fire"",""neutral""]",GEN-036,,,,
37,fire-burning-stage,Burning Stage,Common,field,fire,,/attached_assets/card_images/GENESIS/fire/fieldspells/Red Elemental Spell for Apps_Field Spell - Burning Stage.webp,1,0,0,Fire element avatars on both sides gain +1 damage in their skills,Fire and Water,GEN-037,,,"""2026-01-09T06:52:55.492Z""",,"[""fire"",""fire"",""fire"",""fire""]",GEN-037,,,,
38,fire-hell-stage,Hell Stage,Rare,field,fire,,/attached_assets/card_images/GENESIS/fire/fieldspells/Red Elemental Spell for Apps_Field Spell - Hell Stage.webp,1,0,0,"Non Fire element avatar, get 1 damage everytime its user draw a card.",Fire and Water,GEN-038,,,"""2026-01-09T06:52:55.539Z""",,"[""fire"",""fire"",""neutral"",""neutral""]",GEN-038,,,,
39,fire-ashen-battlefield,Ashen Battlefield,Uncommon,field,fire,,/attached_assets/card_images/GENESIS/fire/fieldspells/Red Elemental Spell for Apps_Field Stage - Ashen Battlefield.webp,1,0,0,"All Fire element avatar, heal 1 damage everytime its user draw a card.",Fire and Water,GEN-039,,,"""2026-01-09T06:52:55.583Z""",,"[""fire"",""neutral""]",GEN-039,,,,
40,water-fishmonger,Fishmonger,Common,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Fishmonger.webp,1,1,6,Avatar - Kujana Human,Fire and Water,GEN-040,"[{""id"":""fish-knife"",""name"":""Fish Knife"",""damage"":1,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Borah or Kobar type avatar"",""spektraCost"":[""water"",""neutral""]}]",,"""2026-01-09T06:52:55.628Z""",,,GEN-040,,,,
41,water-shaman-kujana,Shaman,Common,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Shaman B.webp,1,1,6,Avatar - Kujana Witch,Fire and Water,GEN-041,"[{""id"":""wild-torrent"",""name"":""Wild Torrent"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""water"",""water""]}]",,"""2026-01-09T06:52:55.673Z""",,,GEN-041,,,,
42,water-gal,Gal,Common,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Gal.webp,1,2,5,Avatar - Kujana Human,Fire and Water,GEN-042,"[{""id"":""slap"",""name"":""Slap"",""damage"":2,""conditions"":[],""description"":""Basic slap attack"",""spektraCost"":[""water""]}]",,"""2026-01-09T06:52:55.719Z""",,,GEN-042,,,,
43,water-fisherman,Fisherman,Common,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Fisherman.webp,1,2,8,Avatar - Kuhaka Human,Fire and Water,GEN-043,"[{""id"":""whack"",""name"":""Whack"",""damage"":2,""conditions"":[],""description"":""Physical strike"",""spektraCost"":[""water"",""water""]}]",,"""2026-01-09T06:52:55.763Z""",,,GEN-043,,,,
44,water-rich-thug,Rich Thug,Common,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Rich Tug.webp,1,1,5,Avatar - Kuhaka Human,Fire and Water,GEN-044,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:55.810Z""",,,GEN-044,,,,
45,water-shaman-kuhaka,Shaman,Common,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Shaman A.webp,1,3,6,Avatar - Kuhaka Witch,Fire and Water,GEN-045,"[{""id"":""concentrated-water"",""name"":""Concentrated Water"",""damage"":3,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage into this Avatar"",""spektraCost"":[""water"",""water""]}]",,"""2026-01-09T06:52:55.856Z""",,,GEN-045,,,,
46,water-kobar-trainee-a,Kobar Trainee A,Common,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Kobar Trainee A.webp,1,1,6,Avatar - Kobar Fighter,Fire and Water,GEN-046,"[{""id"":""punch"",""name"":""Punch"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""water""]}]",,"""2026-01-09T06:52:55.902Z""",,,GEN-046,,,,
47,water-kobar-trainee-b,Kobar Trainee B,Common,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Kobar Trainee B.webp,1,2,5,Avatar - Kobar Fighter,Fire and Water,GEN-047,"[{""id"":""kick"",""name"":""Kick"",""damage"":2,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""water"",""water""]}]",,"""2026-01-09T06:52:55.946Z""",,,GEN-047,,,,
48,water-kobar-trainee-c,Kobar Trainee C,Common,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Kobar Trainee C.webp,1,1,5,Avatar - Kobar Fighter,Fire and Water,GEN-048,"[{""id"":""wildbone-blade"",""name"":""Wildbone Blade"",""damage"":1,""conditions"":[{""type"":""opponent_element"",""value"":[""fire""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Fire Element Avatar"",""spektraCost"":[""water"",""water""]}]",,"""2026-01-09T06:52:55.992Z""",,,GEN-048,,,,
49,water-borah-trainee-a,Borah Trainee A,Common,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Borah Trainee A.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-049,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:56.039Z""",,,GEN-049,,,,
50,water-borah-trainee-b,Borah Trainee B,Common,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Borah Trainee B.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-050,"[{""id"":""water-whip"",""name"":""Water Whip"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""water"",""neutral""]}]",,"""2026-01-09T06:52:56.085Z""",,,GEN-050,,,,
51,water-borah-trainee-c,Borah Trainee C,Uncommon,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Borah Trainee C.webp,1,2,6,Avatar - Borah Fighter,Fire and Water,GEN-051,"[{""id"":""liquid-dance"",""name"":""Liquid Dance"",""damage"":2,""conditions"":[],""description"":""Flowing water combat technique"",""spektraCost"":[""water""]}]",,"""2026-01-09T06:52:56.131Z""",,,GEN-051,,,,
